DV1	V2	P1	4.016	0.004	4.0	16.064
DV2	V2	P2	3.507	0.002	4.0	14.028
DV3	V3	P2	3.507	0.002	6.0	21.042
DV4	V4	P1	4.016	0.004	5.0	20.08
DV5	V4	P2	3.507	0.002	3.0	10.521
DV6	V5	P2	3.507	0.002	4.0	14.028
DV7	V6	P1	4.016	0.004	2.0	8.032
DV8	V6	P3	6.018	0.003	4.0	24.072
DV9	V7	P1	4.016	0.004	4.0	16.064
DV10	V8	P1	4.016	0.004	5.0	20.08
DV11	V9	P1	4.016	0.004	4.0	16.064
DV12	V15	P1	4.016	0.004	5.0	20.08
DV13	V16	P2	3.507	0.002	5.0	17.535
DV14	V17	P3	6.018	0.003	6.0	36.108
DV15	V18	P1	4.016	0.004	4.0	16.064
DV16	V19	P3	6.018	0.003	52.0	312.936
DV17	V20	P1	4.016	0.004	32.0	128.512
